id,ra_deg,dec,mag,ci,spect,lum,proper,dist,x,y,z
110641,337.2885,58.4041,6.31,-0.033,A0,191.4256,,271.0027,130.9756,-54.8192,230.8305
110644,337.2926,26.7632,5.79,1.252,K2II,622.3003,,384.6154,316.795,-132.5662,173.1939
110645,337.2927,58.4152,4.07,0.778,G2Ibvar,1442.7796,,265.252,128.1599,-53.6295,225.9591
110650,337.3174,-43.4956,3.97,1.022,G6/G8III,202.4883,,94.8767,63.5028,-26.5412,-65.3035
110675,337.3826,47.7069,4.34,1.679,M0II,4081.3139,,505.0505,313.7229,-130.7021,373.5919
110696,337.4393,-43.7492,4.12,1.57,M4.5IIIa,200.6319,,101.2146,67.5195,-28.0513,-69.9902
110698,337.4417,-27.1073,5.95,0.362,F0V,5.7703,,39.8724,32.7771,-13.6158,-18.1682
110709,337.4707,78.8243,5.45,0.093,A3V,32.4788,,75.1315,13.4506,-5.5795,73.7068
110715,337.4914,4.4317,5.51,0.385,F5IVs,14.642,,51.8672,47.7728,-19.7965,4.0078
110719,337.5062,-12.9151,6.41,0.356,F2/F3IV/V,15.0938,,79.6813,71.7568,-29.7136,-17.8094
110721,337.5075,32.5726,5.64,-0.031,B9.5V,58.9929,,110.4972,86.0336,-35.623,59.4882
110725,337.5271,49.3564,6.41,1.166,K2III SB,29.4036,,111.2347,66.9509,-27.6948,84.4022
110739,337.5723,-14.5857,6.36,-0.047,B8II,93.1537,,193.4236,173.0312,-71.4162,-48.7096
110757,337.6219,43.1234,4.52,-0.086,B2IV,3753.1852,,526.3158,355.2196,-146.252,359.7745
110776,337.6617,-10.6779,4.82,-0.053,A0IVs,81.0588,,88.8099,80.7228,-33.1699,-16.4554
110791,337.724,-26.0738,6.43,1.083,K1III,40.9261,,132.4503,110.0918,-45.098,-58.2156
110822,337.8227,50.2825,3.76,0.031,A1V,27.0147,Stellio,31.4564,18.6137,-7.5875,24.1964
110823,337.8263,-6.5552,6.15,0.565,F7V,1.9498,,25.413,23.3797,-9.5286,-2.9011
110824,337.8267,-2.9113,6.15,1.083,K0,43.411,,119.9041,110.8935,-45.1944,-6.0899
110841,337.8764,-32.3461,4.29,0.011,A1V,32.1218,,43.7828,34.2657,-13.9303,-23.4252
110844,337.8931,29.5428,6.33,0.209,A5m,36.7113,,119.7605,96.5305,-39.2104,59.0507
110849,337.9075,-85.9673,5.76,1.02,K0III,42.7366,,99.4036,6.4774,-2.6292,-99.1575
110853,337.9222,-10.9056,6.39,0.29,A8III,12.4051,,71.582,65.1352,-26.4193,-13.5427
110895,338.0678,76.2264,5.7,0.02,A2V,265.4606,,240.9639,53.2179,-21.4282,234.0348
110900,338.0779,54.037,6.41,1.043,G8III,107.1519,,212.3142,115.6685,-46.5502,171.8464
110911,338.1099,39.7797,5.88,0.166,A6V,170.1375,,209.6436,149.497,-60.0674,134.1379
110930,338.1478,20.23,6.43,0.35,F1V,5.8939,,50.2513,43.7634,-17.5504,17.3764
110947,338.1954,15.8633,6.35,1.19,K0,84.2558,,183.1502,163.571,-65.4388,50.0627
110961,338.2502,-61.9821,4.91,1.612,M4III,74.8859,,88.968,38.8173,-15.4864,-78.541
110965,338.2615,69.9135,6.01,0.334,A9III,20.7396,,77.7001,24.7874,-9.8834,72.974
110976,338.3199,70.3737,6.26,0.018,A0V,43.1718,,125.7862,39.2609,-15.608,118.4785
111013,338.4192,56.6247,5.72,0.966,G8III-IV,50.0265,,105.5966,54.0187,-21.3665,88.1822
111045,338.5121,-1.5743,5.88,0.977,G6III,44.0149,,106.6098,99.1625,-39.0369,-2.9289
111099,338.6735,-20.7082,5.21,0.446,F7V,3.6915,,22.6809,19.7628,-7.7157,-8.0202
111147,338.8391,-0.1175,4.04,-0.083,B9IV-Vn,55.8727,,51.4668,47.9963,-18.5789,-0.1055
111154,338.86,-78.7716,6.15,1.368,K1III,255.1526,,290.6977,52.7955,-20.4145,-285.1334
111165,338.9016,-23.9911,5.97,0.984,K1III,30.7893,,92.9368,79.2159,-30.5644,-37.7876
111182,338.9412,73.6432,5.08,0.395,F3III-IV,24.3669,,54.8847,14.4242,-5.5539,52.6633
111189,338.9534,-17.4604,6.39,1.42,K4III,53.9511,,149.2537,132.8786,-51.1315,-44.7831
111193,338.9666,56.0706,6.37,0.107,A3V,30.7893,,111.7318,58.2102,-22.3837,92.7067
111196,338.9679,39.6343,5.73,-0.16,B1Ve,1949.8446,,662.2517,476.0427,-183.0422,422.4408
111198,338.9704,-57.8838,6.22,0.212,F0Vn,12.7174,,67.0241,33.2593,-12.7868,-56.7675
111200,338.9724,50.0708,6.29,-0.071,B3V,719.7804,,520.8333,312.0308,-119.9498,399.3948
111217,339.0329,35.5775,6.11,0.997,K0,64.1505,,143.0615,108.6517,-41.6359,83.2337
111244,339.1221,-40.5827,6.28,0.119,A3Vn,12.4968,,68.306,48.4701,-18.4875,-44.4361
111250,339.1477,-31.6638,5.82,1.074,K2III,49.204,,109.6491,87.2142,-33.2207,-57.5585
111251,339.1514,11.6966,6.42,0.027,A1III,36.8808,,125.1564,114.5329,-43.6182,25.3729
111276,339.2028,35.6524,6.28,1.392,K5,180.8007,,259.7403,197.3049,-74.9379,151.394
111292,339.2452,-40.591,5.85,0.06,A1V,17.2504,,65.8328,46.7475,-17.7155,-42.8345
111298,339.2702,12.5768,6.3,1.431,K5,256.8029,,312.5,285.2558,-107.9588,68.0464
111310,339.3037,75.3718,5.8,1.594,M1III,191.0733,,214.1328,50.5884,-19.112,207.1917
111323,339.3435,51.5451,4.64,0.254,A8IV,33.6047,,52.6316,30.6273,-11.5465,41.2157
111359,339.4391,-4.2281,5.04,1.14,K2III,36.1077,Situla,65.5738,61.2296,-22.967,-4.8345
111402,339.5725,45.1829,6.38,0.771,G2III+...,70.4044,,169.7793,112.1428,-41.7668,120.4348
111410,339.5923,-7.8976,6.23,0.783,G1IV-V,39.9577,,119.3317,110.781,-41.2161,-16.3965
111443,339.6579,56.7956,5.11,1.537,M4III,150.522,,138.3126,71.0199,-26.3304,115.7293
111445,339.6627,63.5845,5.19,0.083,A3IV,56.65,,88.0282,36.7206,-13.6105,78.8373
111449,339.6861,-28.7482,6.46,1.034,K1III,36.9148,,127.551,104.8741,-38.8229,-61.3471
111457,339.7144,-33.0813,5.66,0.037,A0V,80.0203,,129.8701,102.0684,-37.727,-70.8869
111458,339.7191,19.5223,5.84,0.922,G8II,52.5775,,114.4165,101.1534,-37.3794,38.2349
111489,339.8153,39.0503,4.89,-0.207,O9V,2698.9821,,529.1005,385.661,-141.7785,333.3344
111516,339.893,37.5928,6.03,0.854,G3Ib-IICNe.,315.3552,,305.8104,227.5454,-83.3011,186.5584
111526,339.9341,-28.3257,6.3,1.006,K0/K1III,33.266,,112.4859,93.0069,-33.973,-53.3726
111531,339.9459,19.6811,6.33,0.035,A2V,108.3428,,205.7613,181.9944,-66.4353,69.2973
111572,340.0767,53.8459,5.94,0.946,B8V,46.2594,,112.3596,62.3202,-22.5883,90.7229
111580,340.093,-30.6589,5.88,1.297,K2/K3III,175.3881,,212.766,172.0889,-62.3191,-108.4948
111591,340.1285,44.2763,4.5,1.318,K3III,143.7474,,102.0408,68.7092,-24.8337,71.2366
111601,340.1639,-27.0436,4.18,-0.105,B8V,413.0475,,149.2537,125.047,-45.1087,-67.861
111612,340.1998,-3.5542,6.32,0.52,F6V,3.0846,,34.5662,32.4601,-11.6865,-2.1429
111614,340.2037,-57.4223,5.98,1.45,K4III,240.7687,,261.0966,132.2773,-47.6131,-220.0162
111621,340.2195,14.5492,5.72,0.723,G3V+...,5.1239,,33.7952,30.7814,-11.0701,8.4897
111676,340.3655,10.8314,3.41,-0.086,B8.5V,147.9108,Homam,62.6566,57.9621,-20.6787,11.7744
111678,340.3694,40.2254,5.25,-0.137,B2IIIv SB,1171.6557,,411.5226,295.9393,-105.5575,265.76
111679,340.3804,30.9659,6.36,1.579,K5,223.0489,,299.4012,241.8238,-86.2026,154.0501
111688,340.4001,41.5491,5.93,0.998,G9III,31.1315,,91.7431,64.6811,-23.0318,60.8497
111698,340.4392,29.3076,4.8,-0.013,A1IV,87.8213,,91.5751,75.2452,-26.7356,44.8259
111713,340.4894,14.5164,5.92,1.114,K0III:,26.9401,,84.9618,77.5267,-27.4698,21.2963
111724,340.5251,-5.102,6.28,1.569,M0,119.234,,210.9705,198.1123,-70.0576,-18.7613
111744,340.5867,53.9087,6.14,1.634,K2,450.8167,,384.6154,213.6852,-75.3061,310.7999
111748,340.592,-29.361,6.12,1.522,M3III,138.8034,,211.4165,173.7892,-61.228,-103.6599
111763,340.6537,-47.2108,5.99,0.584,G0,1.9552,,23.6351,15.1488,-5.3188,-17.3448
111768,340.6667,-46.8846,2.07,1.61,M5III,380.8904,Tiaki,54.2594,34.9934,-12.2773,-39.6082
111773,340.6795,-44.248,6.06,0.956,K1IV,38.6901,,108.5776,73.3967,-25.7327,-75.7617
111790,340.731,37.8027,6.43,-0.119,B1V,241.2126,,321.5434,239.8272,-83.8405,197.0883
111804,340.7506,30.2212,2.93,0.852,G2II-III..,253.0463,Matar,65.703,53.5991,-18.7171,33.071
111814,340.7642,-8.3114,6.45,0.166,A5V,49.2493,,146.6276,136.9874,-47.8,-21.1956
111815,340.768,47.1688,6.39,0.45,A1V+...,1454.789,,775.1938,497.5977,-173.5936,568.4955
111825,340.8094,-6.9629,6.4,-0.039,A0Vn,31.2464,,114.1553,107.0166,-37.2474,-13.8387
111849,340.8749,-41.4143,4.84,1.027,K0III,50.3501,,70.6215,50.039,-17.3521,-46.7161
111857,340.8968,-18.8304,4.68,1.358,K3III,206.2529,,132.8021,118.7724,-41.136,-42.8642
111887,341.0217,39.4653,5.93,1.49,K5III+...,166.7247,,212.3142,154.9988,-53.3046,134.9493
111888,341.0228,41.8192,5.11,0.96,K0III,48.708,,78.6782,55.4482,-19.0676,52.4613
111905,341.0686,-60.4996,6.29,0.568,F3V,56.5979,,145.9854,67.999,-23.3228,-127.0587
111946,341.2047,52.5172,6.43,1.541,K2,198.4266,,291.5452,167.9516,-57.1601,231.3517
111951,341.2207,39.201,6.47,1.498,K5,127.5264,,238.0952,174.6857,-59.3973,150.4865
111968,341.2653,58.1471,6.45,0.43,F5,2.8761,,35.4359,17.7101,-6.0065,30.0994
112000,341.3674,19.3666,6.27,1.057,G6III:,34.7696,,113.3787,101.357,-34.1746,37.5976
112012,341.3937,30.4426,6.37,0.933,K1III-IV,8.8716,,59.988,49.0148,-16.5013,30.3944
112018,341.4078,-53.5001,4.84,1.18,K2IIICNIV,163.3804,,127.2265,71.7276,-24.1281,-102.2721
112025,341.42,-46.5473,5.52,1.302,K3III,314.7748,,241.5459,157.4659,-52.9321,-175.3485
112050,341.5154,-81.3816,4.13,0.208,A9IV/V,40.6631,,45.7666,6.5044,-2.1744,-45.2498
112061,341.5425,44.5461,5.84,0.358,F0III-IV,13.0137,,56.9152,38.4761,-12.8422,39.925
112076,341.6178,-49.6858,6.49,1.162,K0III-IV,122.2362,,235.2941,144.4626,-48.0066,-179.4136
112084,341.6328,23.5657,3.97,1.07,G8II-III,282.098,,111.9821,97.4141,-32.3434,44.7704
112090,341.6732,12.1729,4.2,0.502,F7V,4.835,,16.2973,15.1228,-5.0092,3.4365
112142,341.8299,-34.1617,6.28,1.145,K1III,32.1514,,109.529,86.1111,-28.2622,-61.5039
112149,341.8468,58.483,6.33,0.017,B9.5IV,243.6688,,308.642,153.3124,-50.2678,263.1128
112160,341.8707,83.1538,4.77,1.257,K3III,99.3574,,96.0615,10.8825,-3.5631,95.3766
112170,341.888,-19.6134,5.24,0.941,G8III,42.3448,,77.8816,69.7278,-22.8067,-26.1426
112174,341.8987,-65.5603,6.49,1.208,K1III,113.0316,,226.2443,88.9728,-29.083,-205.9721
112183,341.9282,-14.0564,5.68,-0.016,B9V,44.1367,,97.371,89.7958,-29.3009,-23.6492
112208,341.9841,-25.912,6.31,0.913,G8III,46.9462,,134.2282,114.8143,-37.3405,-58.6565
112231,342.046,37.4167,5.82,1.024,G8III:,43.6918,,103.3058,78.0539,-25.292,62.7693
112244,342.0889,-61.6844,6.36,1.059,K0III,44.1367,,133.1558,60.0985,-19.4242,-117.2234
112255,342.1259,-10.5555,6.19,0.274,A9III-IV,36.241,,111.6071,104.4227,-33.6756,-20.445
112263,342.1386,-51.3169,3.49,0.083,A3V,54.6512,,39.5257,23.5134,-7.5771,-30.8543
112276,342.1844,62.9384,6.07,1.194,K0,105.5845,,180.1802,78.0417,-25.0799,160.4537
112282,342.1995,54.4149,6.14,-0.083,B5Vn,159.6614,,228.833,126.7858,-40.7076,186.0989
112309,342.2531,68.5702,6.19,0.44,F5,11.8141,,63.6943,22.164,-7.0934,59.2909
112337,342.3227,-70.348,6.35,0.071,A2V,27.9512,,105.4852,33.8003,-10.7723,-99.341
112357,342.3979,-13.5926,4.05,1.57,K5III,198.0615,,97.371,90.2125,-28.6207,-22.8839
112364,342.4203,66.2004,3.5,1.053,K0III,43.3311,,35.3482,13.5982,-4.3083,32.3423
112372,342.4428,55.9028,5.43,1.167,K1III,86.9361,,121.8027,65.1016,-20.5979,100.8633
112387,342.4968,-32.8055,6.34,0.317,F0V,12.0226,,68.8705,55.2065,-17.41,-37.3132
112389,342.5008,24.6016,3.51,0.933,M2III,36.3413,Sadalbari,32.5309,28.2091,-8.8939,13.5428
112402,342.5421,50.6769,6.23,1.129,G4Ib,479.0711,,413.2231,249.7946,-78.5584,319.6632
112419,342.5907,41.9534,5.91,0.062,B3IV:var,457.5094,,348.4321,247.255,-77.529,232.9359
112421,342.5948,-80.1238,5.32,-0.126,B6IV,148.0471,,151.0574,24.7229,-7.7501,-148.8188
112474,342.759,-39.1568,5.43,1.444,K3III,329.0031,,236.9668,175.4924,-54.4617,-149.6316
112475,342.7623,85.3737,5.89,1.34,K5,68.2339,,133.3333,10.2711,-3.1868,132.8989
112502,342.8373,-29.5363,5.99,0.907,G8/K0III,34.2295,,98.912,82.2256,-25.3945,-48.7611
112504,342.844,61.6967,5.61,0.775,G2IV+...,26.2543,,72.7273,32.9485,-10.1715,64.0328
112535,342.9374,-59.8814,6.47,1.132,K1IIICN...,46.4301,,143.6782,68.9232,-21.1543,-124.2799
112557,343.0084,43.3124,4.95,1.559,M0III,90.615,,99.7009,69.378,-21.1999,68.3924
112564,343.0416,-63.1887,6.14,1.025,K0III,47.9954,,125.4705,54.1331,-16.5071,-111.982
112575,343.1003,9.8357,5.16,0.487,F7IV,5.5924,,27.2777,25.7161,-7.813,4.6597
112588,343.1314,-32.8755,4.46,-0.037,A0III,62.4597,,66.0502,53.0856,-16.0969,-35.8531
112601,343.1536,-7.5796,3.73,1.626,M2IIIvar,391.201,,118.0638,112.0098,-33.9167,-15.573
112626,343.2177,50.4123,6.46,-0.047,B8V,158.052,,263.8522,160.9807,-48.5487,203.3377
112637,343.2594,16.8412,5.86,1.132,K1III SB,31.6228,,89.5255,82.0544,-24.6808,25.9373
112638,343.2657,60.101,6.01,1.748,K2V:,519.996,,389.1051,185.744,-55.8469,337.3174
112649,343.2974,40.1674,6.33,-0.074,B7III-IV,237.903,,304.878,223.1472,-66.9584,196.6532
